indic,s_adj,geo\time	2022M03 	2022M04 	2022M05 	2022M06 	2022M07 	2022M08 	2022M09 	2022M10 	2022M11 	2022M12 	2023M01 	2023M02 
BS-ESI-I,SA,AL	97.3 	96.2 	102.7 	108.3 	108.3 	109.3 	104.8 	98.5 	103.2 	105.0 	108.3 	109.5 
BS-ESI-I,SA,AT	105.5 	104.8 	99.2 	99.0 	94.1 	88.6 	87.8 	85.9 	87.0 	86.8 	92.1 	94.9 
BS-ESI-I,SA,BE	98.0 	101.3 	97.8 	97.7 	98.0 	92.9 	86.0 	83.4 	82.4 	88.0 	87.4 	88.9 
BS-ESI-I,SA,BG	95.5 	95.7 	95.0 	98.7 	100.0 	99.4 	99.4 	100.1 	103.4 	103.5 	101.6 	102.1 
BS-ESI-I,SA,CY	97.0 	97.4 	98.4 	96.6 	99.0 	96.4 	101.8 	101.3 	100.5 	102.6 	104.0 	105.6 
BS-ESI-I,SA,CZ	91.8 	93.3 	97.0 	95.0 	89.5 	87.7 	89.5 	83.9 	82.2 	83.3 	88.5 	92.0 
BS-ESI-I,SA,DE	106.8 	106.3 	106.6 	104.6 	99.4 	97.0 	92.7 	91.6 	92.9 	95.3 	97.8 	97.9 
BS-ESI-I,SA,DK	99.8 	98.4 	94.2 	88.5 	86.2 	90.0 	82.4 	74.5 	78.7 	77.7 	78.3 	79.6 
BS-ESI-I,SA,EA20	106.1 	104.3 	104.2 	103.0 	98.6 	97.8 	94.4 	93.8 	95.1 	97.1 	99.8 	99.7 
BS-ESI-I,SA,EE	100.9 	99.0 	95.7 	92.5 	89.5 	88.5 	84.8 	84.4 	84.3 	81.2 	83.5 	82.6 
BS-ESI-I,SA,EL	111.5 	103.9 	107.4 	104.2 	100.5 	100.7 	105.7 	99.0 	101.6 	103.7 	105.9 	107.5 
BS-ESI-I,SA,ES	104.6 	100.1 	103.6 	101.7 	96.7 	97.6 	96.9 	98.3 	96.5 	98.8 	101.5 	99.5 
BS-ESI-I,SA,EU27_2020	105.7 	103.9 	103.6 	101.9 	97.8 	97.1 	93.9 	92.8 	94.1 	95.6 	97.8 	97.8 
BS-ESI-I,SA,FI	104.5 	101.0 	99.3 	96.9 	92.2 	88.9 	85.0 	85.2 	83.7 	82.5 	87.2 	86.2 
BS-ESI-I,SA,FR	104.1 	102.1 	103.7 	102.3 	101.6 	100.2 	96.4 	96.5 	94.7 	94.4 	98.6 	97.1 
BS-ESI-I,SA,HR	108.2 	108.5 	108.5 	108.5 	105.7 	101.8 	101.1 	104.9 	106.4 	107.9 	105.2 	109.2 
BS-ESI-I,SA,HU	103.2 	102.6 	102.2 	100.3 	99.4 	93.3 	94.4 	87.7 	86.0 	90.2 	89.8 	94.1 
BS-ESI-I,SA,IE	104.7 	100.6 	97.6 	102.4 	92.6 	96.2 	95.7 	91.4 	91.9 	96.8 	104.1 	: 
BS-ESI-I,SA,IT	103.6 	104.9 	105.4 	104.5 	101.1 	99.9 	96.2 	95.6 	99.8 	100.7 	102.5 	102.5 
BS-ESI-I,SA,LT	100.5 	99.9 	101.0 	99.3 	99.4 	98.7 	96.1 	94.4 	95.1 	92.2 	98.2 	94.6 
BS-ESI-I,SA,LU	98.7 	101.6 	101.0 	101.4 	95.4 	92.6 	93.9 	90.3 	91.3 	93.0 	97.7 	97.9 
BS-ESI-I,SA,LV	95.7 	95.1 	94.7 	90.7 	95.1 	94.5 	91.6 	92.2 	92.0 	92.7 	93.5 	95.2 
BS-ESI-I,SA,ME	101.5 	105.7 	104.9 	102.0 	110.1 	100.5 	101.3 	104.6 	108.5 	112.2 	108.8 	111.8 
BS-ESI-I,SA,MK	87.4 	92.4 	90.5 	86.7 	86.5 	92.8 	89.8 	83.5 	96.1 	98.6 	96.1 	94.7 
BS-ESI-I,SA,MT	107.3 	104.1 	104.6 	102.7 	101.3 	99.2 	93.6 	89.5 	95.9 	96.7 	101.1 	104.6 
BS-ESI-I,SA,NL	103.9 	103.8 	102.5 	99.3 	99.6 	95.1 	91.3 	91.2 	92.5 	94.1 	94.6 	97.5 
BS-ESI-I,SA,PL	97.8 	98.3 	97.4 	95.8 	92.5 	90.9 	88.5 	89.3 	89.2 	90.0 	90.0 	89.8 
BS-ESI-I,SA,PT	103.4 	106.2 	106.1 	105.6 	103.6 	103.0 	100.1 	98.2 	97.8 	97.1 	98.5 	102.9 
BS-ESI-I,SA,RO	103.1 	103.5 	101.9 	101.8 	101.9 	100.6 	101.9 	102.4 	104.7 	102.1 	100.7 	101.7 
BS-ESI-I,SA,RS	99.9 	102.2 	96.9 	95.1 	94.6 	94.2 	91.7 	90.1 	92.5 	92.1 	92.9 	91.2 
BS-ESI-I,SA,SE	109.7 	108.2 	107.3 	102.6 	98.6 	96.1 	89.6 	83.9 	86.1 	84.0 	83.1 	84.9 
BS-ESI-I,SA,SI	98.9 	101.8 	99.0 	96.7 	95.3 	96.1 	90.4 	91.1 	94.2 	97.5 	96.0 	95.8 
BS-ESI-I,SA,SK	97.2 	91.9 	99.2 	93.6 	92.2 	88.0 	87.9 	86.7 	84.1 	85.3 	88.1 	84.8 
BS-ESI-I,SA,TR	97.1 	96.6 	96.4 	93.2 	93.2 	94.7 	91.7 	94.1 	94.9 	95.5 	97.0 	97.6 
