"COUNTRY","Country","SEX","Sex","AGE","Age","SERIES","Series","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"AUS","Australia","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2000","2000",7.25709589948144,,
"AUS","Australia","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2001","2001",7.32154270552776,,
"AUS","Australia","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2002","2002",7.18844856687744,,
"AUS","Australia","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2003","2003",7.20392064435526,,
"AUS","Australia","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2004","2004",7.19694589712886,,
"AUS","Australia","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2005","2005",7.11929721578251,,
"AUS","Australia","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2006","2006",6.98189668318564,,
"AUS","Australia","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2007","2007",6.95094147459588,,
"AUS","Australia","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2008","2008",6.944323987641,,
"AUS","Australia","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2009","2009",6.41687223039063,,
"AUS","Australia","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2010","2010",6.15736932435478,,
"AUS","Australia","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2011","2011",6.01215111120245,,
"AUS","Australia","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2012","2012",5.85818782940039,,
"AUS","Australia","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2013","2013",5.74783581710535,,
"AUS","Australia","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2014","2014",5.57419571576229,,
"AUS","Australia","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2015","2015",5.46395621563014,,
"AUS","Australia","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2016","2016",5.408721376896,,
"AUS","Australia","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2017","2017",5.2911792138945,,
"AUS","Australia","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2018","2018",5.43771587426998,,
"AUS","Australia","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2019","2019",5.2823301820554,,
"AUS","Australia","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2020","2020",4.97104627530674,,
"AUS","Australia","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2021","2021",5.30269957597545,,
"AUS","Australia","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2000","2000",8.11707967292606,,
"AUS","Australia","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2001","2001",8.29397179846195,,
