Country_Name,Country_Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,AFG,0.004489215,0.006374088,0.014634682,0.023504751,0.032512283,0.044001561,0.054364636,0.065803398,0.081003465,0.089212563,0.085962949,0.09310454,0.130044923,0.132637719,0.163621851,0.141672215,0.180795165,0.185798595,0.183993581
Albania,ALB,0.218421541,0.230950932,0.242821795,0.247619375,0.257196548,0.269393609,0.273600385,0.291121296,0.286356359,0.317465563,0.345351666,0.366461298,0.393062357,0.398277956,0.385084326,0.390668068,0.381895515,0.38977856,0.369652682
Algeria,DZA,0.166486782,0.171745879,0.177423081,0.182907996,0.196722953,0.219867892,0.227778691,0.2443861,0.238558777,0.245920548,0.253603211,0.261576117,0.268052651,0.278684243,0.281764981,0.291254215,0.299628294,0.305393675,0.309978958
Angola,AGO,0.077702485,0.097636836,0.105566226,0.110781212,0.111409285,0.115006618,0.117139775,0.130538447,0.128064517,0.131414955,0.138365647,0.149115141,0.155742051,0.157265531,0.164569313,0.168216554,0.153924363,0.165806319,0.140741196
Argentina,ARG,0.323863089,0.344568204,0.342679337,0.348125745,0.365216701,0.377037327,0.383145673,0.39401921,0.396435492,0.406505004,0.43791772,0.454342547,0.462491337,0.470043041,0.454000648,0.46526191,0.458214205,0.460549637,0.448844215
Armenia,ARM,0.249772372,0.249635268,0.251637487,0.258685203,0.261965685,0.265991452,0.28304897,0.296340029,0.280910803,0.309872821,0.369329807,0.371065473,0.370252785,0.373785552,0.381678331,0.388981493,0.386230554,0.388829182,0.390701843
Australia,AUS,0.554371084,0.57406806,0.562362479,0.561372675,0.573808262,0.577589587,0.558320878,0.557927513,0.544748083,0.54673343,0.561767571,0.575362512,0.570553576,0.572188793,0.555542606,0.558735123,0.546425347,0.536042937,0.535987365
Austria,AUT,0.464986331,0.48518381,0.468421092,0.474043521,0.496925187,0.506048471,0.492319469,0.501760771,0.49878331,0.497396305,0.5255314,0.539326999,0.547372545,0.540696057,0.522309263,0.530956858,0.497000002,0.498189772,0.495123276
Azerbaijan,AZE,0.232192476,0.243451746,0.254181321,0.256508755,0.262509543,0.26927231,0.275843795,0.284162652,0.287763788,0.30302115,0.342428449,0.357193771,0.379160483,0.412489652,0.397799773,0.394362883,0.381189398,0.381496341,0.386099375
"Bahamas, The",BHS,0.283745567,0.295288257,0.31532007,0.31315496,0.332663559,0.338100003,0.32199612,0.342410722,0.331738764,0.32148269,0.348241068,0.356843544,0.366643327,0.364678966,0.36705244,0.366190125,0.371535125,0.374613038,0.379223212
Bahrain,BHR,0.297402826,0.319292977,0.325564254,0.337920529,0.354301761,0.354026182,0.349087349,0.367053352,0.399090299,0.39066098,0.41084017,0.448616712,0.482093148,0.4831231,0.477525896,0.485341899,0.499074634,0.466865472,0.45967422
Bangladesh,BGD,0.092593065,0.099889633,0.103870496,0.108317592,0.108480114,0.115956899,0.127818668,0.128561842,0.13855036,0.14280422,0.152523408,0.166227136,0.174969661,0.181284794,0.191264564,0.208018779,0.214726059,0.236013513,0.238290242
Barbados,BRB,0.343283037,0.360323984,0.396380593,0.422189812,0.459678334,0.459951418,0.44811055,0.451424356,0.450745339,0.46119906,0.467666571,0.463576337,0.467555123,0.460564153,0.44531595,0.453890554,0.447394937,0.442720711,0.444522668
Belarus,BLR,0.31943233,0.331163363,0.343344382,0.353093795,0.36754935,0.38433698,0.385794577,0.39338866,0.388779196,0.403371681,0.430208749,0.449845747,0.46595849,0.480721483,0.471359231,0.471500486,0.468593929,0.469238163,0.474880938
Belgium,BEL,0.44094265,0.454221703,0.46342788,0.460124097,0.473327925,0.474615356,0.453860835,0.45968721,0.45033754,0.45632828,0.477225462,0.486988464,0.486720391,0.483297286,0.478379625,0.480011969,0.462486509,0.454117818,0.453876061
Belize,BLZ,0.195661505,0.207149987,0.211425551,0.216571736,0.225370863,0.241272914,0.255397703,0.248416076,0.254971618,0.257054273,0.267997019,0.280035178,0.269286313,0.268761143,0.270184954,0.273384494,0.282298288,0.28582189,0.301625983
Benin,BEN,0.088092314,0.092060935,0.096618536,0.099526145,0.102395044,0.102670395,0.105394786,0.112100686,0.119071427,0.125723309,0.149383775,0.154982708,0.159222756,0.163003381,0.155511378,0.158546015,0.153376422,0.155885481,0.164794168
Bhutan,BTN,0.109608557,0.125912791,0.134754435,0.135464632,0.153904286,0.166233754,0.168217047,0.188448547,0.188037384,0.195715584,0.209906128,0.228671332,0.245784817,0.248916831,0.264439455,0.291169651,0.297760018,0.305420172,0.307836185
Bolivia,BOL,0.170773229,0.182671272,0.180565168,0.193864073,0.204520474,0.198649045,0.205880074,0.213898349,0.229627375,0.240940192,0.262990866,0.294933672,0.295285467,0.297847535,0.288852506,0.280578986,0.274977144,0.28930086,0.299622633
Bosnia and Herzegovina,BIH,0.21943556,0.236360968,0.24387084,0.252202288,0.277505705,0.286526101,0.283164785,0.297069401,0.312092139,0.307762492,0.317753314,0.320953136,0.324640778,0.330194194,0.326901564,0.328643894,0.329852192,0.341247754,0.348952654
Botswana,BWA,0.111957928,0.116766814,0.125589169,0.134221753,0.142577594,0.145497001,0.152399337,0.164420969,0.174943995,0.189066091,0.209354395,0.232294782,0.256440634,0.286186116,0.293292628,0.299062969,0.28245901,0.291732836,0.295630436
Brazil,BRA,0.258761065,0.292609306,0.306762963,0.3186955,0.338060729,0.348651628,0.353140687,0.362304743,0.378270033,0.391635326,0.404272586,0.423951707,0.437073571,0.442572199,0.442453878,0.446274294,0.430413736,0.430428407,0.428340059
Brunei Darussalam,BRN,0.28962279,0.338033178,0.334564717,0.340620866,0.36239416,0.372765137,0.372530323,0.382771288,0.388535519,0.39221058,0.421158304,0.419065485,0.412231729,0.415864285,0.399571726,0.427671137,0.431428684,0.477813925,0.414989333
Bulgaria,BGR,0.305829454,0.328843525,0.332478659,0.338410396,0.363045673,0.375573029,0.386792235,0.411912584,0.413827183,0.416350004,0.427244133,0.432422278,0.442906492,0.441727567,0.424636968,0.426063336,0.414307007,0.418258103,0.419255685
Burkina Faso,BFA,0.073280979,0.074769452,0.074983031,0.07688409,0.075390993,0.074354618,0.072741117,0.073028989,0.074928707,0.073068998,0.097447065,0.104638643,0.112494315,0.128622894,0.124991212,0.119543327,0.1146497,0.125664979,0.122012439
Burundi,BDI,0.067134145,0.068765007,0.071123933,0.072863307,0.073106604,0.070339627,0.070271295,0.067373666,0.065873695,0.065278447,0.069004679,0.068112596,0.065795427,0.065431335,0.069746333,0.089673046,0.085851494,0.081519233,0.114031128
Cabo Verde,CPV,0.056237417,0.061758316,0.142488331,0.152033268,0.1612686,0.16814253,0.171371683,0.182252144,0.206275314,0.218231312,0.255108348,0.262131691,0.268750869,0.284859949,0.297220494,0.300286055,0.305481077,0.316584977,0.318336735
Cambodia,KHM,0.101000475,0.112703408,0.119460201,0.121406536,0.127653994,0.122104194,0.140094731,0.146353515,0.140502944,0.165832682,0.169597819,0.2183346,0.24236097,0.249549591,0.250313925,0.257792655,0.293011611,0.303802482,0.318396333
Cameroon,CMR,0.132521106,0.143719375,0.143189134,0.146366725,0.149467784,0.15124848,0.153397537,0.154255733,0.156176581,0.157366477,0.162195739,0.169574564,0.180278414,0.191789808,0.205245312,0.211712786,0.206074997,0.211189576,0.206958884
Canada,CAN,0.54864763,0.569641106,0.549250552,0.545606033,0.551001495,0.547830413,0.527691123,0.522781388,0.518057114,0.521169094,0.520733377,0.525752982,0.524707791,0.519229262,0.504915584,0.508174265,0.49312481,0.494192447,0.494860969
Central African Republic,CAF,0.069542342,0.102069085,0.10276361,0.104123195,0.103583078,0.102136878,0.098344384,0.100515254,0.112573713,0.120133368,0.124294142,0.072261531,0.077140809,0.078507807,0.082274001,0.091433676,0.103832811,0.139300611,0.141127965
Chad,TCD,0.050054,0.05054472,0.051434796,0.052455342,0.051237234,0.051745959,0.052103488,0.052965485,0.054882583,0.054336126,0.056867333,0.058389175,0.057981126,0.05729661,0.05925231,0.056268643,0.05746469,0.061472859,0.061846835
Chile,CHL,0.313056964,0.333484703,0.337359244,0.347616935,0.362716231,0.376925711,0.372533913,0.380977651,0.377045163,0.385173141,0.416610123,0.439343554,0.450890465,0.45695466,0.452129615,0.469304636,0.468798795,0.460848773,0.466541059
China,CHN,0.306433691,0.386012069,0.402028401,0.422713751,0.447366975,0.469583227,0.477687336,0.49547874,0.521813681,0.554751366,0.589228039,0.607149851,0.618566979,0.626662506,0.634090749,0.653171837,0.642988402,0.654465218,0.665030289
Colombia,COL,0.256702973,0.263673934,0.268374266,0.276840042,0.284490437,0.307479474,0.309895962,0.31960822,0.330450696,0.338353987,0.359451001,0.371060218,0.392010343,0.402254603,0.403151574,0.416232133,0.410083808,0.416493056,0.417599946
Comoros,COM,0.054246953,0.061248644,0.065803532,0.071074534,0.076641544,0.082043216,0.0870611,0.093667096,0.100293303,0.105855379,0.124141785,0.130531304,0.134610319,0.138340294,0.142201889,0.149367397,0.144255487,0.203253123,0.150701748
"Congo, Dem. Rep.",COD,0.066719694,0.06764938,0.069244568,0.07098822,0.071389295,0.066073861,0.068629814,0.072097239,0.066958088,0.062425341,0.064033192,0.064799922,0.065208299,0.067575617,0.070549436,0.072195847,0.064104696,0.070740703,0.069219929
"Congo, Rep.",COG,0.090124681,0.094789175,0.098829486,0.103906761,0.108380335,0.11324637,0.118321902,0.125209024,0.132813337,0.140900786,0.161376956,0.166236396,0.166580742,0.178698274,0.181041912,0.193529972,0.189369883,0.192338657,0.194483992
Costa Rica,CRI,0.240604733,0.350336542,0.37189259,0.381100092,0.389843115,0.400491853,0.399693108,0.406493287,0.408750953,0.424401247,0.429442416,0.455845217,0.485537409,0.497037004,0.47559807,0.450471927,0.446316951,0.464466612,0.466045652
Cote d'Ivoire,CIV,0.113707601,0.144033431,0.147723357,0.146407956,0.147671098,0.156810582,0.151987747,0.168492647,0.181726358,0.177331629,0.165450456,0.199345838,0.177830614,0.182232344,0.210874982,0.222457498,0.226829585,0.24570719,0.252488556
Croatia,HRV,0.313293395,0.352414748,0.367227585,0.376358588,0.400312011,0.414598625,0.406675848,0.419090095,0.405090199,0.409934702,0.4318218,0.435813995,0.447706888,0.449338497,0.434762708,0.434919523,0.428547059,0.410025051,0.420613146
Cuba,CUB,0.217304333,0.221640707,0.227674113,0.239443718,0.271772609,0.28350719,0.31360169,0.327671632,0.32790599,0.330493329,0.317934855,0.302101082,0.286555502,0.277844382,0.269004333,0.27633753,0.282497393,0.30566487,0.311448283
Cyprus,CYP,0.350735502,0.425622465,0.44509714,0.463172833,0.486908631,0.48588941,0.465773548,0.480463892,0.48270253,0.490481744,0.514112542,0.504377125,0.470281098,0.461667605,0.464213705,0.470751397,0.46592562,0.48397338,0.503651937
