LOCATION,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,mean
AUS,43.813437,45.338482,46.025462,47.089456,46.931496,47.099677,47.342066,47.873036,49.523676,49.111719,49.886548,50.465688,51.671243,52.558753,52.780926,54.099648,53.945416,54.561035,54.559641,55.212012,56.214321,56.820351,50.587459
AUT,55.825179,56.533555,57.591558,58.071618,59.181589,60.63234,62.218785,63.814049,63.814456,63.363388,64.291488,64.94796,65.645538,66.080679,66.327394,67.267651,67.184974,67.999464,68.309455,68.309868,69.970148,69.634603,63.955261
BEL,63.08917,63.233672,63.667303,64.204011,66.278551,67.287921,67.637137,68.887444,68.464336,68.020751,69.053627,68.581978,68.923207,69.517696,70.513657,71.604653,71.674769,71.534022,71.681631,72.259271,74.541737,73.607184,68.830169
BGR,14.861829,15.438275,16.313284,16.783858,17.182034,17.965425,18.618248,19.229785,19.475667,19.717737,20.847786,21.781488,22.497211,22.460713,22.60739,23.296069,23.897609,24.130056,24.784139,25.687153,25.775778,26.559335,20.905039
CAN,44.249048,44.960465,45.686833,45.787448,46.167149,47.187987,47.742663,47.802103,47.658733,47.877704,48.405298,49.181535,49.335662,50.068609,51.425818,51.340885,51.524774,52.346352,52.543577,52.996192,56.971404,53.969872,49.328641
CHE,61.43702,62.847795,63.171539,62.87144,63.23669,64.693828,66.315161,67.595243,68.253612,66.723475,68.620315,68.227615,68.49478,69.759903,70.447419,69.982344,70.431631,71.561236,73.212853,73.619376,74.655861,75.909195,68.275833
CHL,17.914007,18.467892,18.642397,18.913712,19.66666,20.756781,21.576242,22.452244,22.983801,23.127019,22.047521,22.524161,23.647491,23.997201,24.41223,24.525405,24.869271,24.794088,25.319539,25.304435,28.606966,28.986876,22.887997
COL,9.652419,9.690187,9.482174,9.500538,10.052163,10.232035,10.890402,11.347122,11.360227,11.063533,11.114892,11.496924,11.629282,12.052849,12.371221,12.488134,12.724875,12.862658,13.050577,13.46144,16.115907,14.335103,11.680666
CRI,13.419427,13.340478,13.431107,13.62039,13.961451,13.718511,14.259665,14.453706,14.909054,15.331663,17.122775,17.944786,17.694625,18.620355,19.093774,19.707747,20.571849,21.056646,21.446167,22.038536,25.395334,24.023111,17.507325
CZE,25.998047,27.994158,28.429678,29.901424,31.147574,32.765277,34.781571,36.256014,36.139167,35.303035,36.128328,36.734795,36.886973,37.004724,37.432375,39.390083,39.251558,40.595969,41.161265,42.272668,43.289836,43.487932,36.01602
DEU,56.051436,57.4591,57.991792,58.437853,58.970058,59.900695,60.858653,61.577685,61.593702,59.739676,61.116778,62.706421,63.093299,63.392823,64.049842,64.376152,65.248665,66.411797,66.549287,67.055996,67.714113,68.303361,62.390872
DNK,59.954667,59.743007,60.234191,61.228274,63.183454,64.048343,64.892447,65.012119,64.044269,63.453957,65.937261,66.165566,67.430176,67.960405,69.036988,70.022816,70.856515,72.180878,73.769587,74.317394,75.083567,75.831338,67.017601
ESP,44.963723,45.035756,45.105579,45.239819,45.384816,45.562108,45.828539,46.335067,46.454358,47.573943,48.783311,49.503478,50.458453,51.203041,51.361566,51.769513,52.006193,52.460584,52.34069,52.631029,52.648278,51.829924,48.839989
