2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
80.4,80.1,79.9,80.9,81.6,82.4,82.4,82.9,83.0,83.9,84.6,84.5,85.0,85.3,85.6,85.7,85.9
66.1,66.9,68.0,69.6,70.6,70.5,71.3,71.6,72.8,73.6,74.7,75.1,76.8,78.2,78.7,79.8,81.5
72.5,75.5,77.4,77.5,77.9,79.1,80.0,81.0,81.8,81.1,81.9,82.3,82.8,82.6,82.5,83.1,83.4
83.0,85.2,86.0,86.8,86.9,85.0,84.8,85.7,86.4,87.2,87.3,87.4,87.8,88.4,89.0,89.3,87.4
66.6,69.5,72.1,73.1,72.3,74.0,75.2,77.4,78.5,77.6,77.9,79.5,81.1,82.2,82.5,83.2,84.6
89.9,90.3,90.5,90.9,91.4,91.9,92.3,92.5,92.8,93.2,93.2,93.4,93.8,93.9,93.8,94.1,94.4
83.1,83.2,84.4,85.3,85.5,86.1,86.6,86.6,86.7,86.9,86.8,86.5,86.5,86.6,86.6,85.7,84.8
81.0,81.6,74.3,73.5,74.5,75.3,76.7,77.6,77.9,78.9,79.7,80.3,81.0,81.1,81.6,81.5,82.4
48.8,49.7,50.6,51.1,51.6,52.9,54.0,54.7,55.5,56.6,57.4,58.3,59.1,60.1,61.3,62.9,63.9
89.0,88.5,89.1,88.4,88.8,89.3,89.1,90.0,90.6,88.2,87.7,88.6,88.1,88.0,89.0,89.3,89.5
78.8,79.6,80.5,81.1,82.0,83.0,83.7,84.8,85.9,86.5,87.7,88.1,88.3,89.2,90.1,91.1,88.9
66.7,67.3,68.5,69.5,70.1,70.7,71.5,72.4,75.0,76.7,77.6,78.1,78.4,79.4,80.5,81.5,82.2
71.8,72.7,73.4,73.4,74.5,76.1,76.4,77.9,78.3,79.2,79.7,79.5,80.1,80.4,81.1,,
60.2,59.2,60.1,61.3,61.5,62.7,64.6,65.8,67.2,68.4,70.4,71.8,72.9,73.6,76.8,78.8,79.8
72.8,74.1,75.7,76.7,77.5,77.3,78.2,80.5,81.3,82.7,83.1,82.7,83.8,85.1,85.8,86.6,87.2
76.4,78.0,79.0,79.6,80.5,81.2,81.5,82.0,82.5,83.1,83.2,83.4,84.0,84.9,85.0,85.6,86.3
65.2,66.8,68.4,70.4,71.5,73.1,73.9,74.9,77.1,80.3,81.1,81.4,82.5,83.2,83.7,85.5,87.5
62.9,63.3,63.9,64.1,65.9,66.5,70.7,71.0,72.2,73.6,75.0,78.2,77.3,78.0,78.6,78.2,82.0
50.1,51.3,52.2,53.3,54.2,55.1,56.0,57.2,58.2,59.3,59.9,60.1,60.9,61.7,62.2,62.9,62.7
87.5,87.8,88.5,90.4,91.2,91.9,92.9,93.3,93.4,93.3,93.5,94.6,94.8,94.8,95.0,95.4,94.9
65.9,65.5,65.7,67.9,77.3,77.7,77.3,78.3,80.5,82.0,76.0,78.4,76.4,78.6,79.3,78.5,80.3
84.4,84.1,84.6,85.9,86.8,88.6,87.9,89.1,89.4,89.5,90.1,90.7,90.4,90.7,91.2,91.7,92.2
,57.6,60.5,59.2,61.2,62.5,63.7,64.9,65.6,65.7,66.4,68.4,69.6,70.2,71.6,72.6,
25.2,26.5,26.6,27.8,30.8,32.8,35.8,38.5,41.5,44.6,46.8,49.4,52.0,55.0,57.8,59.3,62.9
69.5,70.6,71.4,71.4,71.6,72.4,72.5,73.4,75.8,75.9,76.4,77.1,78.4,79.0,79.6,81.0,80.6
88.2,78.5,78.7,80.0,80.5,80.9,81.3,82.1,82.4,82.7,82.7,82.3,82.2,83.0,83.2,83.4,82.4
84.8,85.8,86.3,87.1,88.0,88.5,88.9,89.6,90.1,90.5,90.8,91.3,92.1,92.4,92.6,93.2,93.2
26.3,27.5,27.3,28.1,29.7,31.7,34.6,37.3,39.8,43.3,45.1,46.9,48.0,49.8,52.2,55.4,59.5
73.1,74.2,75.0,75.3,74.7,73.9,74.5,75.4,75.7,72.8,75.0,76.7,77.9,78.5,79.0,80.4,81.0
87.9,88.8,89.1,89.9,90.9,91.0,91.3,91.7,91.9,91.0,91.4,91.9,91.4,91.7,91.4,92.7,93.3
80.3,81.6,81.8,82.0,83.3,83.3,84.5,85.0,85.5,85.7,86.8,87.3,87.9,88.1,88.8,90.2,91.3
83.6,78.9,79.4,80.0,80.7,81.2,81.6,82.4,83.2,83.7,84.3,85.0,85.3,85.6,86.1,86.5,87.5
,26.1,26.6,27.4,28.2,28.4,29.2,30.9,31.9,32.6,34.2,35.6,36.4,37.4,38.9,40.7,
