countryCode,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,mean
AT,117.5,117.7,116.8,116.2,117.5,115.6,115.0,117.9,117.9,118.1,119.6,119.5,117.5,117.6,115.4,117.3,116.1,117.2470588235294
BE,142.8,139.8,138.0,136.1,136.8,137.9,133.9,135.0,134.7,136.1,136.7,136.5,134.0,133.3,132.9,137.1,136.2,136.3411764705882
BG,37.6,37.5,38.8,39.5,40.0,41.9,42.8,44.0,42.9,44.1,44.5,45.9,45.9,47.2,48.3,48.8,52.5,43.65882352941176
CH,122.8,126.6,131.8,133.1,131.2,133.6,133.2,134.3,135.0,136.1,135.3,132.8,130.8,131.4,129.1,129.3,129.3,131.51176470588234
CY,83.9,85.2,85.9,86.3,86.0,83.3,81.0,79.4,78.1,76.3,76.7,78.4,77.9,77.1,76.6,75.0,76.3,80.19999999999999
CZ,70.4,71.0,74.0,74.1,74.7,72.1,71.7,71.3,72.2,73.9,75.2,74.5,75.8,76.5,77.8,78.9,79.0,74.30000000000001
DE,128.9,126.5,126.0,124.7,122.9,122.3,123.5,122.9,122.6,124.5,122.9,124.7,124.9,124.9,122.8,122.2,123.4,124.1529411764706
DK,126.8,126.7,126.2,127.8,129.0,135.1,132.5,132.7,132.9,134.1,133.7,133.7,136.2,137.6,135.2,136.8,139.2,132.71764705882353
EA,116.8,116.4,115.6,114.8,113.8,112.8,112.0,111.9,112.2,111.9,111.0,111.0,110.6,109.8,109.2,109.8,109.3,112.28823529411764
EA19,114.0,113.7,113.2,112.7,112.5,111.7,111.1,111.0,111.3,111.4,111.0,111.0,110.6,109.8,109.2,109.8,109.3,111.37058823529411
EA20,113.3,113.0,112.5,112.0,111.8,111.0,110.5,110.4,110.8,110.8,110.5,110.5,110.1,109.3,108.7,109.2,108.7,110.77058823529411
EE,50.7,52.4,57.2,57.3,60.5,62.9,62.4,64.1,64.5,66.1,63.5,64.9,65.4,70.1,71.0,73.7,74.2,63.582352941176474
EL,78.4,80.9,79.1,79.3,78.6,72.7,66.0,63.2,62.9,62.0,62.7,59.0,58.9,55.9,55.6,55.0,54.0,66.12941176470588
ES,98.2,100.3,100.8,100.1,102.3,99.6,98.2,99.9,100.5,100.3,98.9,98.4,98.3,95.8,95.3,91.8,90.5,98.18823529411763
EU27_2020,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
EU28,101.7,101.6,101.3,101.3,100.8,101.0,100.6,100.4,100.3,100.2,100.3,99.9,99.8,99.6,99.3,99.3,99.3,100.3941176470588
