Country_Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
AUS,0.554371084,0.57406806,0.562362479,0.561372675,0.573808262,0.577589587,0.558320878,0.557927513,0.544748083,0.54673343,0.561767571,0.575362512,0.570553576,0.572188793,0.555542606,0.558735123,0.546425347,0.536042937,0.535987365
AUT,0.464986331,0.48518381,0.468421092,0.474043521,0.496925187,0.506048471,0.492319469,0.501760771,0.49878331,0.497396305,0.5255314,0.539326999,0.547372545,0.540696057,0.522309263,0.530956858,0.497000002,0.498189772,0.495123276
BEL,0.44094265,0.454221703,0.46342788,0.460124097,0.473327925,0.474615356,0.453860835,0.45968721,0.45033754,0.45632828,0.477225462,0.486988464,0.486720391,0.483297286,0.478379625,0.480011969,0.462486509,0.454117818,0.453876061
BGR,0.305829454,0.328843525,0.332478659,0.338410396,0.363045673,0.375573029,0.386792235,0.411912584,0.413827183,0.416350004,0.427244133,0.432422278,0.442906492,0.441727567,0.424636968,0.426063336,0.414307007,0.418258103,0.419255685
CAN,0.54864763,0.569641106,0.549250552,0.545606033,0.551001495,0.547830413,0.527691123,0.522781388,0.518057114,0.521169094,0.520733377,0.525752982,0.524707791,0.519229262,0.504915584,0.508174265,0.49312481,0.494192447,0.494860969
CHL,0.313056964,0.333484703,0.337359244,0.347616935,0.362716231,0.376925711,0.372533913,0.380977651,0.377045163,0.385173141,0.416610123,0.439343554,0.450890465,0.45695466,0.452129615,0.469304636,0.468798795,0.460848773,0.466541059
COL,0.256702973,0.263673934,0.268374266,0.276840042,0.284490437,0.307479474,0.309895962,0.31960822,0.330450696,0.338353987,0.359451001,0.371060218,0.392010343,0.402254603,0.403151574,0.416232133,0.410083808,0.416493056,0.417599946
CRI,0.240604733,0.350336542,0.37189259,0.381100092,0.389843115,0.400491853,0.399693108,0.406493287,0.408750953,0.424401247,0.429442416,0.455845217,0.485537409,0.497037004,0.47559807,0.450471927,0.446316951,0.464466612,0.466045652
HRV,0.313293395,0.352414748,0.367227585,0.376358588,0.400312011,0.414598625,0.406675848,0.419090095,0.405090199,0.409934702,0.4318218,0.435813995,0.447706888,0.449338497,0.434762708,0.434919523,0.428547059,0.410025051,0.420613146
CZE,0.352898069,0.405969649,0.429454861,0.44539495,0.4630654,0.468156038,0.461371168,0.466017665,0.475087518,0.470977164,0.486857148,0.495659576,0.498683184,0.488610258,0.477006057,0.471508697,0.452719008,0.458580575,0.463481972
DNK,0.523839666,0.552972906,0.575637938,0.584243186,0.605763784,0.605766027,0.577754614,0.565925999,0.546439418,0.540108328,0.535276319,0.547327625,0.549642183,0.539550206,0.524421568,0.527013266,0.507066531,0.496208687,0.495923034
