COUNTRY,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AT,83.0,82.9,82.4,81.7,79.9,80.4,74.8,74.8,74.6,74.3,73.9,72.0,72.1,71.7,71.2,70.5,70.1
BE,85.2,84.9,85.3,85.5,92.1,91.0,90.7,91.9,98.1,97.6,96.9,95.8,95.8,93.8,93.0,92.4,91.6
CZ,65.7,63.5,59.9,59.6,71.3,71.4,71.7,71.6,71.6,71.7,71.8,72.0,72.3,72.5,72.7,72.8,70.8
DE,75.0,75.6,74.8,74.5,75.2,73.5,73.3,73.3,73.0,73.1,73.1,73.2,73.3,73.2,73.2,73.0,72.8
DK,91.2,90.6,89.5,88.6,88.8,89.2,88.7,89.4,89.4,89.6,89.6,89.8,89.9,89.3,88.4,87.9,87.2
EE,64.3,63.5,63.0,62.6,61.9,62.7,63.5,64.3,63.7,63.7,62.9,62.9,62.9,61.5,62.2,62.5,69.3
ES,80.2,80.3,81.5,81.2,80.6,82.6,82.7,82.8,81.7,81.7,81.2,81.1,81.1,81.9,82.0,80.5,82.1
FI,77.8,76.3,74.0,73.1,72.1,72.3,72.3,75.0,75.6,81.7,79.2,78.3,74.4,73.9,73.4,73.1,72.4
FR,81.6,80.8,77.4,77.2,77.2,76.9,77.4,77.3,77.3,77.4,76.5,76.5,75.8,75.1,72.6,72.2,72.7
HU,62.4,68.4,71.6,71.6,72.2,79.9,79.6,79.5,78.8,78.6,78.4,78.1,78.5,78.5,77.1,76.4,73.3
IE,62.9,65.0,67.4,67.1,67.6,66.2,66.1,64.4,66.7,66.5,65.6,69.4,55.8,55.0,54.9,55.1,64.3
IT,84.4,84.8,74.3,78.3,78.7,77.9,77.2,78.1,80.4,80.4,81.8,81.7,81.6,81.4,81.6,79.6,79.9
LT,80.7,78.7,79.8,81.6,86.2,69.8,68.5,66.6,64.4,61.5,81.6,79.5,88.3,86.8,87.4,86.1,106.0
LU,86.1,86.3,86.6,86.4,85.6,85.7,86.8,86.1,86.5,86.7,87.6,87.7,87.0,90.9,92.1,91.7,91.8
LV,87.4,87.4,86.6,84.9,87.2,89.5,89.5,89.6,89.0,88.4,87.9,87.3,87.4,85.2,85.0,83.9,83.3
MT,50.2,49.6,49.5,49.9,49.9,49.9,48.2,48.5,48.5,49.8,49.9,49.0,50.6,57.3,68.0,64.8,66.1
NL,79.9,80.8,82.7,82.7,82.3,82.8,82.7,82.7,81.8,81.0,78.9,76.3,76.4,76.5,75.7,78.3,77.7
PL,73.0,72.8,69.2,61.8,61.2,63.4,63.1,63.2,63.2,62.7,62.3,62.0,61.5,61.4,60.9,59.2,59.5
PT,81.0,81.9,81.5,81.1,80.7,79.0,79.0,79.2,79.9,79.8,80.3,80.3,80.4,80.4,80.6,80.6,80.7
SE,87.1,87.0,83.0,79.6,77.2,75.4,74.4,73.0,72.0,70.1,69.6,79.5,79.5,79.5,78.0,77.0,78.1
SI,86.6,86.7,84.6,83.4,83.4,83.2,89.7,89.7,89.8,89.7,89.7,89.6,91.0,82.2,82.2,80.7,78.6
SK,68.4,68.8,69.0,69.7,67.5,68.0,69.7,69.6,69.6,69.8,70.0,70.3,70.7,71.1,70.2,70.5,71.0
