"COUNTRY","Country","EMPSTAT","Employment status","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","TE","Total employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1777.57063811043,,
"AUS","Australia","TE","Total employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1773.8951196348,,
"AUS","Australia","TE","Total employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1770.77504879768,,
"AUS","Australia","TE","Total employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1766.00918545794,,
"AUS","Australia","TE","Total employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1755.13274869288,,
"AUS","Australia","TE","Total employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1751.30537336357,,
"AUS","Australia","TE","Total employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1738.71539952934,,
"AUS","Australia","TE","Total employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1738.4942536067,,
"AUS","Australia","TE","Total employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1732.53874302482,,
"AUS","Australia","TE","Total employment","A","Annual","2019","2019","HOUR","Hours","0","Units",,,1722.31334232542,,
"AUS","Australia","TE","Total employment","A","Annual","2020","2020","HOUR","Hours","0","Units",,,1683.11193199766,,
"AUS","Australia","TE","Total employment","A","Annual","2021","2021","HOUR","Hours","0","Units",,,1694.12905338561,,
"AUT","Austria","DE","Dependent employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1468,,
"AUT","Austria","DE","Dependent employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1468,,
"AUT","Austria","DE","Dependent employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1453,,
"AUT","Austria","DE","Dependent employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1443,,
"AUT","Austria","DE","Dependent employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1438,,
"AUT","Austria","DE","Dependent employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1420,,
"AUT","Austria","DE","Dependent employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1431,,
"AUT","Austria","DE","Dependent employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1421,,
"AUT","Austria","DE","Dependent employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1421,,
"AUT","Austria","DE","Dependent employment","A","Annual","2019","2019","HOUR","Hours","0","Units",,,1430.26217450533,,
"AUT","Austria","DE","Dependent employment","A","Annual","2020","2020","HOUR","Hours","0","Units",,,1322.36989361291,,
"AUT","Austria","DE","Dependent employment","A","Annual","2021","2021","HOUR","Hours","0","Units",,,1371.15237944832,,
"AUT","Austria","TE","Total employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1552,,
"AUT","Austria","TE","Total employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1557,,
"AUT","Austria","TE","Total employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1535,,
"AUT","Austria","TE","Total employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1520,,
"AUT","Austria","TE","Total employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1510,,
"AUT","Austria","TE","Total employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1495,,
"AUT","Austria","TE","Total employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1507,,
"AUT","Austria","TE","Total employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1498,,
