freq,unit,na_item,geo\TIME_PERIOD	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,PC_EU27_2020_MPPS_CP,NLPR_HW,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PC_EU27_2020_MPPS_CP,NLPR_HW,AT	117.5 	117.7 	116.8 	116.2 	117.5 	115.6 	115.0 	117.9 	117.9 	118.1 	119.6 	119.5 	117.5 	117.6 	115.4 	117.3 	116.1 
A,PC_EU27_2020_MPPS_CP,NLPR_HW,BE	142.8 	139.8 	138.0 	136.1 	136.8 	137.9 	133.9 	135.0 	134.7 	136.1 	136.7 	136.5 	134.0 	133.3 	132.9 	137.1 p	136.2 p
A,PC_EU27_2020_MPPS_CP,NLPR_HW,BG	37.6 	37.5 	38.8 	39.5 	40.0 	41.9 	42.8 	44.0 	42.9 	44.1 	44.5 	45.9 	45.9 	47.2 	48.3 	48.8 	52.5 
A,PC_EU27_2020_MPPS_CP,NLPR_HW,CH	122.8 	126.6 	131.8 	133.1 	131.2 e	133.6 	133.2 	134.3 	135.0 	136.1 	135.3 	132.8 	130.8 	131.4 	129.1 	129.3 	: 
A,PC_EU27_2020_MPPS_CP,NLPR_HW,CY	83.9 	85.2 	85.9 	86.3 	86.0 	83.3 	81.0 	79.4 	78.1 	76.3 	76.7 	78.4 	77.9 	77.1 	76.6 	75.0 	76.3 p
A,PC_EU27_2020_MPPS_CP,NLPR_HW,CZ	70.4 	71.0 	74.0 	74.1 	74.7 	72.1 	71.7 	71.3 	72.2 	73.9 	75.2 	74.5 	75.8 	76.5 	77.8 	78.9 	79.0 
A,PC_EU27_2020_MPPS_CP,NLPR_HW,DE	128.9 	126.5 	126.0 	124.7 	122.9 	122.3 	123.5 	122.9 	122.6 	124.5 	122.9 	124.7 	124.9 	124.9 	122.8 p	122.2 p	123.4 p
A,PC_EU27_2020_MPPS_CP,NLPR_HW,DK	126.8 	126.7 	126.2 	127.8 	129.0 	135.1 	132.5 	132.7 	132.9 	134.1 	133.7 	133.7 	136.2 	137.6 	135.2 	136.8 	139.2 
A,PC_EU27_2020_MPPS_CP,NLPR_HW,EA	116.8 	116.4 	115.6 	114.8 	113.8 	112.8 	112.0 	111.9 	112.2 	111.9 	111.0 	111.0 	110.6 	109.8 	109.2 	109.8 	109.3 
A,PC_EU27_2020_MPPS_CP,NLPR_HW,EA19	114.0 	113.7 	113.2 	112.7 	112.5 	111.7 	111.1 	111.0 	111.3 	111.4 	111.0 	111.0 	110.6 	109.8 	109.2 	109.8 	109.3 
A,PC_EU27_2020_MPPS_CP,NLPR_HW,EA20	113.3 	113.0 	112.5 	112.0 	111.8 	111.0 	110.5 	110.4 	110.8 	110.8 	110.5 	110.5 	110.1 	109.3 	108.7 	109.2 	108.7 
A,PC_EU27_2020_MPPS_CP,NLPR_HW,EE	50.7 	52.4 	57.2 	57.3 	60.5 	62.9 	62.4 	64.1 	64.5 	66.1 	63.5 	64.9 	65.4 	70.1 	71.0 	73.7 	74.2 
A,PC_EU27_2020_MPPS_CP,NLPR_HW,EL	78.4 	80.9 	79.1 	79.3 	78.6 	72.7 b	66.0 	63.2 	62.9 	62.0 	62.7 	59.0 	58.9 	55.9 	55.6 	55.0 p	54.0 p
A,PC_EU27_2020_MPPS_CP,NLPR_HW,ES	98.2 	100.3 	100.8 	100.1 	102.3 	99.6 	98.2 	99.9 	100.5 	100.3 	98.9 	98.4 	98.3 	95.8 	95.3 	91.8 p	90.5 p
A,PC_EU27_2020_MPPS_CP,NLPR_HW,EU27_2020	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 
A,PC_EU27_2020_MPPS_CP,NLPR_HW,EU28	101.7 	101.6 	101.3 	101.3 	100.8 	101.0 	100.6 	100.4 	100.3 	100.2 	100.3 	99.9 	99.8 	99.6 	99.3 	: 	: 
A,PC_EU27_2020_MPPS_CP,NLPR_HW,FI	115.4 	114.5 	118.4 	118.7 	115.8 	114.9 	114.4 	111.5 	110.3 	109.8 	109.6 	110.6 	111.8 	110.2 	107.7 	107.5 	108.5 
A,PC_EU27_2020_MPPS_CP,NLPR_HW,FR	132.3 	132.5 	130.1 	128.1 	127.9 	126.9 	125.4 	123.4 	125.6 	125.5 	124.7 	124.5 	124.2 	123.9 	125.9 	126.3 	122.9 p
A,PC_EU27_2020_MPPS_CP,NLPR_HW,HR	59.4 p	61.3 p	62.9 p	63.6 	60.9 	59.6 	62.2 	64.2 	65.6 	63.6 	65.7 	67.0 	67.1 	67.0 	65.9 	60.3 	65.8 p
A,PC_EU27_2020_MPPS_CP,NLPR_HW,HU	63.2 	63.5 	64.3 	68.0 	69.6 	70.0 	71.1 	69.5 	69.4 	67.2 	66.9 	63.5 	63.4 	65.4 	66.7 	66.5 	68.1 p
A,PC_EU27_2020_MPPS_CP,NLPR_HW,IE	127.6 	129.6 	131.3 	125.3 	131.7 	138.2 	140.8 	142.5 	136.3 	139.1 	179.6 	170.9 	173.4 	177.7 	175.4 	197.9 	209.8 
A,PC_EU27_2020_MPPS_CP,NLPR_HW,IS	117.5 p	115.3 p	115.4 p	113.1 p	123.5 p	114.4 p	110.8 p	110.2 p	110.0 p	110.9 p	113.9 p	114.1 p	112.8 p	112.5 p	115.6 p	110.8 p	116.0 p
A,PC_EU27_2020_MPPS_CP,NLPR_HW,IT	108.9 	107.7 	107.2 	108.3 	108.2 	106.3 	105.8 	105.5 	104.5 	103.0 	101.6 	103.2 	101.9 	100.8 	100.4 	102.7 	100.8 
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LT	49.1 	51.7 	54.5 	56.2 	53.8 	58.3 	62.4 	63.6 	64.9 	65.4 	62.9 	61.5 	65.4 	66.2 	68.2 	70.0 	73.6 
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LU	183.9 	192.7 	191.6 	191.2 	189.3 	188.4 	187.0 	186.7 	188.7 	191.8 	190.5 	189.9 	184.1 	178.5 	171.4 	175.6 	179.6 p
A,PC_EU27_2020_MPPS_CP,NLPR_HW,LV	42.2 	42.4 	45.4 	47.9 	48.4 	51.1 	50.9 	53.8 	53.1 	54.7 	55.8 	56.6 	58.3 	58.9 	60.2 	61.2 	64.1 
A,PC_EU27_2020_MPPS_CP,NLPR_HW,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PC_EU27_2020_MPPS_CP,NLPR_HW,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PC_EU27_2020_MPPS_CP,NLPR_HW,MT	76.1 	73.2 	73.9 	73.3 	73.0 	76.4 	74.2 	75.0 	75.7 	78.1 	82.5 	78.7 	81.4 	78.5 	75.8 	71.7 	76.9 
