freq,geo\TIME_PERIOD	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,AT	83.00 	82.90 	82.40 	81.70 	79.90 	80.40 	74.80 	74.80 	74.60 	74.30 	73.90 	72.00 	72.10 	71.70 	71.20 	70.50 	70.10 
A,BE	85.20 	84.90 	85.30 	85.50 	92.10 	91.00 	90.70 	91.90 	98.10 	97.60 	96.90 	95.80 	95.80 	93.80 	93.00 	92.40 	91.60 
A,BG	: 	: 	: 	76.70 	81.70 	80.90 	81.60 	81.60 	81.60 	81.60 	81.60 	81.60 	82.00 	82.40 	82.40 	82.40 	82.40 
A,CH	77.70 	77.40 	77.60 	78.90 	78.50 	78.50 	78.50 	78.20 	78.50 	78.30 	78.70 	78.30 	77.10 	77.20 	77.60 	78.90 	80.10 
A,CY	62.70 	62.50 	62.40 	: 	: 	: 	: 	: 	: 	64.30 	: 	: 	64.20 	64.00 	64.40 	64.40 	64.10 
A,CZ	65.70 	63.50 	59.90 	59.60 	71.30 	71.40 	71.70 	71.60 	71.60 	71.70 	71.80 	72.00 	72.30 	72.50 	72.70 	72.80 	70.80 
A,DE	75.00 	75.60 	74.80 	74.50 	75.20 	73.50 	73.30 	73.30 	73.00 	73.10 	73.10 	73.20 	73.30 	73.20 	73.20 	73.00 	72.80 
A,DK	91.20 	90.60 	89.50 	88.60 	88.80 	89.20 	88.70 	89.40 	89.40 	89.60 	89.60 	89.80 	89.90 	89.30 	88.40 	87.90 	87.20 
A,EA19	78.8 	78.9 	76.9 	77.4 	77.7 	76.8 	76.8 	76.8 	77.1 	77.1 	77.0 	76.8 	76.6 	76.4 	75.8 	75.4 	75.9 
A,EE	64.30 	63.50 	63.00 	62.60 	61.90 	62.70 	63.50 	64.30 	63.70 	63.70 	62.90 	62.90 	62.90 	61.50 	62.20 	62.50 	69.30 
A,EL	55.40 	56.40 	59.10 	65.50 	65.40 	51.50 	56.80 	50.70 	50.60 	50.50 	50.30 	52.50 	52.60 	52.60 	52.30 	55.80 	53.70 
A,ES	80.20 	80.30 	81.50 	81.20 	80.60 	82.60 	82.70 	82.80 	81.70 	81.70 	81.20 	81.10 	81.10 	81.90 	82.00 	80.50 	82.10 
A,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	75.1 	75.0 	74.8 	74.8 	74.6 	74.8 	74.3 	73.7 	74.0 
A,EU28	: 	: 	: 	: 	: 	: 	: 	: 	73.3 	73.2 	72.9 	72.8 	72.4 	72.4 	72.0 	: 	: 
A,FI	77.80 	76.30 	74.00 	73.10 	72.10 	72.30 	72.30 	75.00 	75.60 	81.70 	79.20 	78.30 	74.40 	73.90 	73.40 	73.10 	72.40 
A,FR	81.60 	80.80 	77.40 	77.20 	77.20 	76.90 	77.40 	77.30 	77.30 	77.40 	76.50 	76.50 	75.80 	75.10 	72.60 	72.20 	72.70 
A,HR	: 	: 	: 	: 	: 	: 	: 	: 	80.80 	80.80 	79.80 	79.90 	81.90 	83.00 	83.60 	83.40 	83.40 
A,HU	62.40 	68.40 	71.60 	71.60 	72.20 	79.90 	79.60 	79.50 	78.80 	78.60 	78.40 	78.10 	78.50 	78.50 	77.10 	76.40 	73.30 
A,IE	62.90 	65.00 	67.40 	67.10 	67.60 	66.20 	66.10 	64.40 	66.70 	66.50 	65.60 	69.40 	55.80 	55.00 	54.90 	55.10 	64.30 
A,IS	66.70 	85.20 	83.70 	81.40 	85.40 	86.20 	86.20 	86.20 	86.20 	84.80 	83.70 	83.90 	84.40 	84.40 	84.40 	85.10 	85.30 
A,IT	84.40 	84.80 	74.30 	78.30 	78.70 	77.90 	77.20 	78.10 	80.40 	80.40 	81.80 	81.70 	81.60 	81.40 	81.60 	79.60 	79.90 
A,JP	75.40 	75.60 	76.10 	76.30 	75.20 	76.30 	75.50 	73.70 	76.80 	75.90 	75.20 	75.00 	74.00 	75.50 	75.60 	77.50 	78.50 
A,LT	80.70 	78.70 	79.80 	81.60 	86.20 	69.80 	68.50 	66.60 	64.40 	61.50 	81.60 	79.50 	88.30 	86.80 	87.40 	86.10 	106.00 
A,LU	86.10 	86.30 	86.60 	86.40 	85.60 	85.70 	86.80 	86.10 	86.50 	86.70 	87.60 	87.70 	87.00 	90.90 	92.10 	91.70 	91.80 
A,LV	87.40 	87.40 	86.60 	84.90 	87.20 	89.50 	89.50 	89.60 	89.00 	88.40 	87.90 	87.30 	87.40 	85.20 	85.00 	83.90 	83.30 
A,MT	50.20 	49.60 	49.50 	49.90 	49.90 	49.90 	48.20 	48.50 	48.50 	49.80 	49.90 	49.00 	50.60 	57.30 	68.00 	64.80 	66.10 
A,NL	79.90 	80.80 	82.70 	82.70 	82.30 	82.80 	82.70 	82.70 	81.80 	81.00 	78.90 	76.30 	76.40 	76.50 	75.70 	78.30 	77.70 
A,NO	77.10 	81.10 	80.10 	79.20 	79.00 	78.90 	78.50 	78.40 	75.90 	75.60 	75.60 	75.50 	75.40 	75.40 	75.30 	75.30 	75.30 
A,PL	73.00 	72.80 	69.20 	61.80 	61.20 	63.40 	63.10 	63.20 	63.20 	62.70 	62.30 	62.00 	61.50 	61.40 	60.90 	59.20 	59.50 
A,PT	81.00 	81.90 	81.50 	81.10 	80.70 	79.00 	79.00 	79.20 	79.90 	79.80 	80.30 	80.30 	80.40 	80.40 	80.60 	80.60 	80.70 
